plot,site,ft,asn,lat,long,datum,ba ,st.ha,ts,bearing,aspect,slope,canopy.cover,cwd.no,cwd.con,vcwd,vcwd.con,avg.dc,tot.snags,avg.snag.ht,avg.snag.dbh,soil.ph
WA3MD,WA3,MD,2,NA,NA,NA,28,962,0.09,304,NW,8,94,4,3,64.2,50,4.5,1,1,23,4.087
WA3MD,WA3,MD,3,N 42°29.973',W 71°53.914',NAD83,55.3,962,0,326,NW,15,95,4,2,24.2,5.9,3.8,2,2,8,4.097
WA3MD,WA3,MD,4,N 42°29.974',W 71°53.941',NAD83,35.2,849,0,330,NW,16,87,11,7,52,43.7,2.8,8,10,20,4.43
WA3MD,WA3,MD,5,N 42°29.984',W 71°53.927',NAD83,18.3,736,0,322,NW,17,88,7,7,14.6,14.6,4.1,4,6,12,4.36
MRTS,MR,TS,1,N 42°37.664',W 72°11.622',NAD83,63.7,849,0.92,275,W,22,86,6,3,8.9,6.7,2.3,0,0,0,4.068
MRTS,MR,TS,2,N 42°37.641',W 72°11.626',NAD83,35.1,905,0.91,260,W,12,84,5,5,3.7,3.7,4,2,NA,10,3.774
MRTS,MR,TS,3,N 42°37.628',W 72°11.627',NAD83,35,566,0.43,264,W,11,86,9,6,23.5,10,3.4,2,11,12,3.536
MRTS,MR,TS,4,N 42°37.651',W 72°11.637',NAD83,23.7,566,0.75,FLAT,NA,FLAT,87,5,4,85.7,59.7,3,0,0,0,3.698
MRTS,MR,TS,5,N 42°37.638',W 72°11.624',NAD83,35.5,1075,0.69,264,W,17,90,10,6,17.8,11.9,3,2,5,17,3.668
MRMD,MR,MD,1,N 42°37.640',W 72°11.563',NAD83,16.4,1641,0.06,290,W,24,87,11,9,11.3,10.5,2.9,1,5,7,3.879
MRMD,MR,MD,2,N 42°37.634',W 72°11.538',NAD83,14.3,1358,0,300,NW,12,80,6,6,10.4,10.4,3.3,6,3,7,3.436
MRMD,MR,MD,3,N 42°37.618',W 72°11.548',NAD83,5.3,1132,0,290,W,11,67,3,2,3.1,2.5,2.3,5,4,6,4.154
MRMD,MR,MD,4,N 42°37.621',W 72°11.579',NAD83,15.3,1528,0.01,253,W,12,78,4,4,38.7,38.7,3.8,6,5,8,4.226
MRMD,MR,MD,5,N 42°37.624',W 72°11.561',NAD83,7.9,1585,0,284,W,15,78,3,3,4.8,4.8,2.7,2,3,6,4.291
BHTS,BH,TS,1,N 42°40.751',W 72°08.486',NAD83,37.4,1302,0.41,44,NE,6,91,9,7,11.5,10,3.4,3,4,10,3.413
BHTS,BH,TS,2,N 42°40.732',W 72°08.475',NAD83,39.2,1528,0.74,160,S,9,92,8,6,31,30.1,3.4,1,7,9,3.4
BHTS,BH,TS,3,N 42°40.733',W 72°08.507',NAD83,26.8,1641,0.7,FLAT,NA,FLAT,90,6,6,48.5,48.5,3.8,2,5,15,3.695
BHTS,BH,TS,4,N 42°40.747',W 72°08.517',NAD83,23.8,1132,0.84,252,W,2,91,1,1,0.5,0.5,4,7,13,19,4.085
BHTS,BH,TS,5,N 42°40.744',W 72°08.492',NAD83,35.7,2886,0.52,230,SW,3,93,11,4,28.1,5.7,2.5,7,6,14,3.69
BHMD,BH,MD,1,N 42°40.571',W 72°08.336',NAD83,23.9,962,0.43,FLAT,NA,FLAT,92,5,4,35.2,34.2,4.2,1,7,26,3.762
BHMD,BH,MD,2,N 42°40.558',W 72°08.307',NAD83,28.3,1019,0,338,N,5,87,9,5,14.4,11,3,5,8,12,4.097
BHMD,BH,MD,3,N 42°40.549',W 72°08.313',NAD83,51.3,1302,0.01,240,SW,5,90,3,0,4.6,0,2.3,7,7,7,3.523
BHMD,BH,MD,4,N 42°40.548',W 72°08.347',NAD83,42.3,1132,0.09,FLAT,NA,FLAT,87,9,6,72.2,67.4,3.2,8,6,11,3.744
BHMD,BH,MD,5,N 42°40.556',W 72°08.325',NAD83,28.5,1245,0.1,FLAT,NA,FLAT,90,7,4,51.3,45.1,4,4,7,14,3.905
ER1TS,ER1,TS,1,N 42°37.692',W 72°21.985',NAD83,47.9,736,0.64,50,NE,9,94,8,6,26,19,3.8,15,9,9,3.519
ER1TS,ER1,TS,2,N 42°37.692',W 72°21.959',NAD83,86.1,962,0.25,40,NE,8,93,9,4,10.8,4.6,2.8,8,8,14,3.565
ER1TS,ER1,TS,3,N 42°37.664',W 72°21.959',NAD83,40.3,1415,0.97,60,E,2,91,12,8,148.2,112.9,2.3,9,8,11,4.424
ER1TS,ER1,TS,4,N 42°37.671',W 72°21.986',NAD83,19.6,736,0.59,34,NE,10,96,5,4,5.7,5.2,2.8,1,10,7,3.706
ER1TS,ER1,TS,5,N 42°37.687',W 72°21.965',NAD83,46,1358,0.98,43,NE,8,95,5,4,6.9,6.5,2.6,9,10,9,3.638
ER1MD,ER1,MD,1,N 42°37.753',W 72°22.115',NAD83,38.4,1471,0.04,67,E,5,94,6,6,10,10,1.8,5,7,9,3.91
ER1MD,ER1,MD,2,N 42°37.739',W 72°22.089',NAD83,40.9,1585,0.04,60,E,7,95,14,13,17.9,16.5,3,6,6,9,3.683
ER1MD,ER1,MD,3,N 42°37.717',W 72°22.114',NAD83,13.4,792,0,40,NE,16,89,9,3,18.6,12.3,2.4,7,5,9,4.513
ER1MD,ER1,MD,4,N 42°37.724',W 72°22.129',NAD83,26.1,1075,0,53,NE,6,94,6,6,21.1,21.1,3.7,3,5,8,4.176
ER1MD,ER1,MD,5,N 42°37.734',W 72°22.121',NAD83,42.3,1245,0.03,52,NE,10,92,5,2,12.4,9,3.2,0,0,0,4.458
ER2TS,ER2,TS,1,N 42°37.048',W 72°23.611',NAD83,31.7,1019,0.44,322,NW,9,92,5,3,5.7,3.9,2.8,4,6,15,3.719
ER2TS,ER2,TS,2,N 42°37.050',W 72°23.597',NAD83,51.7,1245,0.52,314,NW,12,NA,14,6,24.1,10.5,3,4,4,14,3.669
