ft,site,plot,asn,aco,lat_dd,long_dd
TS,ER1,ER1TS,4,115,42.6279,-72.3664
TS,ER1,ER1TS,4,116,42.6279,-72.3664
TS,ER1,ER1TS,4,107,42.6279,-72.3664
TS,ER1,ER1TS,4,108,42.6279,-72.3664
TS,ER1,ER1TS,4,107,42.6279,-72.3664
TS,ER1,ER1TS,4,108,42.6279,-72.3664
TS,ER1,ER1TS,4,107,42.6279,-72.3664
TS,ER1,ER1TS,4,108,42.6279,-72.3664
TS,ER1,ER1TS,5,109,42.6281,-72.3661
TS,ER1,ER1TS,5,110,42.6281,-72.3661
TS,ER1,ER1TS,5,109,42.6281,-72.3661
TS,ER1,ER1TS,5,110,42.6281,-72.3661
TS,ER1,ER1TS,5,109,42.6281,-72.3661
TS,ER1,ER1TS,5,110,42.6281,-72.3661
TS,ER1,ER1TS,5,109,42.6281,-72.3661
TS,ER1,ER1TS,5,110,42.6281,-72.3661
TS,ER1,ER1TS,5,117,42.6281,-72.3661
TS,ER1,ER1TS,5,118,42.6281,-72.3661
TS,ER1,ER1TS,5,109,42.6281,-72.3661
TS,ER1,ER1TS,5,110,42.6281,-72.3661
TS,ER1,ER1TS,5,109,42.6281,-72.3661
TS,ER1,ER1TS,5,110,42.6281,-72.3661
TS,ER1,ER1TS,5,109,42.6281,-72.3661
TS,ER1,ER1TS,5,110,42.6281,-72.3661
MD,ER1,ER1MD,1,111,42.6292,-72.3686
MD,ER1,ER1MD,1,112,42.6292,-72.3686
MD,ER1,ER1MD,1,111,42.6292,-72.3686
MD,ER1,ER1MD,1,112,42.6292,-72.3686
MD,ER1,ER1MD,1,111,42.6292,-72.3686
MD,ER1,ER1MD,1,112,42.6292,-72.3686
MD,ER1,ER1MD,1,111,42.6292,-72.3686
MD,ER1,ER1MD,1,112,42.6292,-72.3686
MD,ER1,ER1MD,1,111,42.6292,-72.3686
MD,ER1,ER1MD,1,112,42.6292,-72.3686
MD,ER1,ER1MD,1,111,42.6292,-72.3686
MD,ER1,ER1MD,1,112,42.6292,-72.3686
MD,ER1,ER1MD,1,111,42.6292,-72.3686
MD,ER1,ER1MD,1,112,42.6292,-72.3686
MD,ER1,ER1MD,1,111,42.6292,-72.3686
MD,ER1,ER1MD,1,112,42.6292,-72.3686
MD,ER1,ER1MD,2,113,42.629,-72.3682
MD,ER1,ER1MD,2,114,42.629,-72.3682
MD,ER1,ER1MD,2,113,42.629,-72.3682
MD,ER1,ER1MD,2,114,42.629,-72.3682
MD,ER1,ER1MD,2,113,42.629,-72.3682
MD,ER1,ER1MD,2,114,42.629,-72.3682
MD,ER1,ER1MD,2,113,42.629,-72.3682
MD,ER1,ER1MD,2,114,42.629,-72.3682
MD,ER1,ER1MD,2,113,42.629,-72.3682
MD,ER1,ER1MD,2,114,42.629,-72.3682
MD,ER1,ER1MD,2,113,42.629,-72.3682
MD,ER1,ER1MD,2,114,42.629,-72.3682
MD,ER1,ER1MD,2,113,42.629,-72.3682
MD,ER1,ER1MD,2,114,42.629,-72.3682
MD,ER1,ER1MD,2,113,42.629,-72.3682
MD,ER1,ER1MD,2,114,42.629,-72.3682
MD,ER1,ER1MD,3,115,42.6286,-72.3686
MD,ER1,ER1MD,3,116,42.6286,-72.3686
MD,ER1,ER1MD,3,115,42.6286,-72.3686
MD,ER1,ER1MD,3,116,42.6286,-72.3686
MD,ER1,ER1MD,3,115,42.6286,-72.3686
MD,ER1,ER1MD,3,116,42.6286,-72.3686
MD,ER1,ER1MD,3,115,42.6286,-72.3686
MD,ER1,ER1MD,3,116,42.6286,-72.3686
MD,ER1,ER1MD,3,115,42.6286,-72.3686
MD,ER1,ER1MD,3,116,42.6286,-72.3686
MD,ER1,ER1MD,3,115,42.6286,-72.3686
MD,ER1,ER1MD,3,116,42.6286,-72.3686
MD,ER1,ER1MD,3,115,42.6286,-72.3686
MD,ER1,ER1MD,3,116,42.6286,-72.3686
MD,ER1,ER1MD,3,115,42.6286,-72.3686
MD,ER1,ER1MD,3,116,42.6286,-72.3686
MD,ER1,ER1MD,4,117,42.6287,-72.3688
MD,ER1,ER1MD,4,118,42.6287,-72.3688
MD,ER1,ER1MD,4,117,42.6287,-72.3688
MD,ER1,ER1MD,4,118,42.6287,-72.3688
